,Title,Author,Published date,Format,Sale Price,Old Price,Category
7918,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 4,Mo Xiang Tong Xiu,13 Dec 2022,Paperback,15.02,20.5,Fiction
7919,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 5 (Special Edition),Mo Xiang Tong Xiu;,02 May 2023,Paperback,26.71,26.71,Fiction
7920,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 1,Rou Bao Bu Chi Rou,15 Nov 2022,Paperback,14.85,20.5,Fiction
7921,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 6,Mo Xiang Tong Xiu,30 May 2023,Paperback,22.0,22.0,Fiction
7922,Twisted Lies,Ana Huang,01 Aug 2022,Paperback,9.99,13.5,Fiction
7923,No Longer Human,Osamu Dazai,01 Jan 2020,Paperback,12.6,13.5,Fiction
7924,The Art of War,Sun Tzu,14 Oct 2011,Paperback,5.66,5.66,Fiction
7925,The Stranger,Albert Camus,09 Aug 2016,Paperback,13.3,15.5,Fiction
7926,Crime and Punishment,Fyodor Dostoevsky,05 May 2000,Paperback,6.64,9.0,Fiction
7927,Meditations,Marcus Aurelius,06 Feb 2019,Paperback,11.0,11.5,Fiction
7928,1984,George Orwell,01 Oct 2008,Paperback,10.43,10.5,Fiction
7929,Kindred,Octavia E. Butler,03 May 2018,Paperback,9.99,12.5,Fiction
7930,Giovanni's Room,James Baldwin,26 Oct 2012,Paperback,9.47,10.5,Fiction
7931,The Bell Jar,Sylvia Plath,15 Aug 2011,Paperback,10.82,12.5,Fiction
7932,Animal Farm,George Orwell,01 Oct 2008,Paperback,10.22,10.5,Fiction
7933,Do Androids Dream Of Electric Sheep?: The inspiration behind Blade Runner and Blade Runner 2049,Philip K. Dick,29 Mar 2010,Paperback,8.61,12.5,Fiction
7934,To Kill A Mockingbird,Harper Lee,29 Dec 2010,Paperback,10.4,11.5,Fiction
